S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
34176,10,Standard,MS14183L-6,-,Release,T,WASHER,,,,,8.0,85B5860-121
34177,10,Standard,MS14183L-C6,-,Release,T,WASHER,,,,,8.0,85B5860-121
34178,10,Standard,MS21042L3,-,Release,T,NUT,,,,,21.0,85B5860-121
34179,10,Standard,MS21042L4,-,Release,T,NUT,,,,,86.0,85B5860-121
34180,10,Standard,NAS1149D0332K,-,Release,T,WASHER,,,,,21.0,85B5860-121
34181,10,Standard,NAS1149D0432K,-,Release,T,WASHER,,,,,86.0,85B5860-121
34182,10,Standard,NAS4450H08-10,-,Release,T,PIN,,,,,4.0,85B5860-121
34183,10,Standard,NAS4450H08-11,-,Release,T,PIN,,,,,2.0,85B5860-121
34184,10,Standard,NAS4450S06-07,-,Release,T,PIN,,,,,16.0,85B5860-121
34185,10,Standard,NAS4450S08-06,-,Release,T,PIN,,,,,14.0,85B5860-121
34186,10,Standard,NAS4450S08-07,-,Release,T,PIN,,,,,22.0,85B5860-121
34187,10,Standard,NAS4450S08-08,-,Release,T,PIN,,,,,8.0,85B5860-121
34188,10,Standard,NAS4450S08-09,-,Release,T,PIN,,,,,8.0,85B5860-121
34189,10,Standard,NAS4450S08-10,-,Release,T,PIN,,,,,10.0,85B5860-121
34190,10,Standard,NAS4450S08-11,-,Release,T,PIN,,,,,4.0,85B5860-121
34191,10,Standard,NAS6303-8,-,Release,T,BOLT,,,,,5.0,85B5860-121
34192,10,Standard,NAS6304-10,-,Release,T,BOLT,,,,,3.0,85B5860-121
34193,10,Standard,NAS6304-11,-,Release,T,BOLT,,,,,6.0,85B5860-121
34194,10,Standard,NAS6304-13,-,Release,T,BOLT,,,,,1.0,85B5860-121
34195,10,Standard,NAS6304-8,-,Release,T,BOLT,,,,,3.0,85B5860-121
34196,10,Standard,NAS6304-9,-,Release,T,BOLT,,,,,1.0,85B5860-121
34203,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,E6B5251-003
34297,10,General,85PF9502-203,-,Release,T,BRACKET,,85PF9502-003,,3.0,1.0,85PF9502-201
34299,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,2.0,85PF9502-201
34300,10,Standard,NAS1791C3-1,-,Release,T,NUT,,,,,1.0,85PF9502-201
34302,10,General,85PF9502-204,-,Release,T,BRACKET,,85PF9502-004,,3.0,1.0,85PF9502-202
